STARTTIME;SOURCE;DEST;PROTO;PACKETS;BYTES;DURATION
2019-09-03T05:15:47;10.23.35.133:65427;8.8.8.8:53;udp;1;70;00:00:00
2019-09-03T05:15:58;10.23.35.61:52998;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:16:34;10.23.35.61:46169;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:17:10;10.23.35.61:35942;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:17:46;10.23.35.61:19786;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:18:21;10.23.35.61:50348;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:18:42;10.23.35.133:58612;8.8.8.8:53;udp;1;77;00:00:00
2019-09-03T05:18:57;10.23.35.61:31359;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:19:33;10.23.35.61:38031;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:20:05;10.23.35.133:52248;8.8.8.8:53;udp;1;70;00:00:00
2019-09-03T05:20:09;10.23.35.61:52481;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:20:16;10.23.35.133:50319;8.8.8.8:53;udp;1;69;00:00:00
2019-09-03T05:20:27;10.23.35.133:57476;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:20:45;10.23.35.61:6449;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:21:21;10.23.35.61:51415;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:21:57;10.23.35.61:29337;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:22:33;10.23.35.61:37227;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:23:08;10.23.35.133:55455;8.8.8.8:53;udp;1;60;00:00:00
2019-09-03T05:23:09;10.23.35.61:43361;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:23:45;10.23.35.61:5578;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:24:21;10.23.35.61:19479;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:24:33;10.23.35.133:57736;8.8.8.8:53;udp;1;64;00:00:00
2019-09-03T05:24:35;10.23.35.133:56242;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:24:38;10.23.35.133:57255;8.8.8.8:53;udp;1;69;00:00:00
2019-09-03T05:24:57;10.23.35.133:63378;8.8.8.8:53;udp;1;60;00:00:00
2019-09-03T05:24:57;10.23.35.61:17896;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:25:07;10.23.35.133:54031;8.8.8.8:53;udp;1;67;00:00:00
2019-09-03T05:25:33;10.23.35.61:8896;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:26:09;10.23.35.61:23841;8.8.8.8:53;udp;17;1146;00:00:21
2019-09-03T05:26:52;10.23.35.61:59522;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:27:28;10.23.35.61:37536;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:27:48;10.23.35.133:56150;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:28:04;10.23.35.61:4310;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:28:06;10.23.35.133:65248;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:28:40;10.23.35.61:6666;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:29:16;10.23.35.61:31140;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:29:33;10.23.35.133:49283;8.8.8.8:53;udp;1;64;00:00:00
2019-09-03T05:29:46;10.23.35.133:59774;8.8.8.8:53;udp;1;73;00:00:00
2019-09-03T05:29:52;10.23.35.61:35435;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:30:21;10.23.35.133:57857;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:30:28;10.23.35.61:25981;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:31:04;10.23.35.61:35799;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:31:40;10.23.35.61:32175;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:31:47;10.23.35.133:53461;8.8.8.8:53;udp;1;73;00:00:00
2019-09-03T05:27:48;10.23.35.133;8.8.8.8;icmp;2;277;00:03:59
2019-09-03T05:31:59;10.23.35.133:61723;8.8.8.8:53;udp;1;77;00:00:00
2019-09-03T05:32:16;10.23.35.61:2162;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:32:46;10.23.35.133:54476;8.8.8.8:53;udp;1;66;00:00:00
2019-09-03T05:32:52;10.23.35.61:31425;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:33:28;10.23.35.61:3045;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:33:36;10.23.35.133:62174;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:34:03;10.23.35.61:11235;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:34:32;10.23.35.133:53296;8.8.8.8:53;udp;1;73;00:00:00
2019-09-03T05:34:39;10.23.35.61:43213;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:34:46;10.23.35.133:59252;8.8.8.8:53;udp;1;65;00:00:00
